bulk_id,dE_CO,dE_H,dE_CHO,dE_COOH
mp-30,0.044,0.656,0.928,1.004
mp-81,0.617,0.981,0.835,1.352
mp-124,0.758,1.582,1.267,1.387
mp-79,0.44,1.088,0.673,0.727
mp-117,0.888,-1.119,-2.549,-2.405
mp-85,0.901,1.624,1.185,1.407
mp-23152,0.483,1.315,0.97,1.303
mp-20483,0.407,1.509,1.259,1.198
mp-126,-0.544,0.409,-0.14,0.437
mp-2,-0.426,0.451,0.063,0.692
mp-23,-0.66,0.85,-0.216,0.219
mp-13,-0.99,0.689,-1.432,-0.287
mp-54,-1.059,0.411,-1.617,-0.025
mp-1184018,0.064,1.05,0.879,1.425
mp-1184011,0.267,1.539,1.041,1.127
mp-1215401,0.442,1.261,0.866,-0.296
mp-10598,0.727,1.512,0.664,1.174
mp-1018029,-0.373,0.757,0.64,0.586
mp-12086,-0.614,0.691,0.054,0.401
mp-21985,0.24,1.002,0.988,0.539
mp-1183995,0.222,0.955,0.967,1.15
mp-1008555,0.385,0.932,0.678,1.281
