bulk_id,formula,dE_NO3,anom_NO3,dE_NO2,anom_NO2,dE_NO,anom_NO,dE_N,anom_N,dE_NH,anom_NH,dE_NH3,anom_NH3
mp-30,Cu,6.19,False,4.481,False,3.691,False,1.514,False,0.547,False,-0.393,False
mp-23,Ni,5.552,True,3.689,False,2.342,False,-0.183,False,-0.508,False,-0.134,False
mp-54,Co,5.433,False,0.717,True,1.621,False,-0.915,False,-0.991,False,-0.166,True
mp-2,Pd,6.371,False,4.295,False,2.292,False,2.042,False,1.348,False,-0.603,False
mp-74,Rh,6.028,False,2.37,True,1.898,False,0.253,False,0.554,False,-0.743,False
mp-126,Pt,6.631,False,4.274,False,2.801,False,1.558,False,0.753,False,-0.844,False
no3rr-Cu3Ni,Cu3Ni,5.937,False,4.291,False,2.597,False,0.506,False,-0.039,False,-0.185,False
no3rr-Cu3Co,CoCu3,5.646,False,1.585,True,1.76,False,-0.763,False,-0.846,False,-0.963,False
no3rr-Cu3Fe,Cu3Fe,5.715,False,2.83,False,0.919,False,-1.255,False,-1.149,True,-1.05,False
no3rr-Cu3Pd,Cu3Pd,6.453,False,4.618,False,3.782,False,1.986,False,1.493,False,-0.402,False
no3rr-Cu3Rh,Cu3Rh,6.112,False,4.613,False,2.25,False,0.189,False,0.491,False,-0.844,False
no3rr-Cu3Pt,Cu3Pt,6.598,False,4.692,False,4.354,False,1.424,False,0.785,False,-0.468,False
no3rr-Cu3Zn,Cu3Zn,5.921,False,4.519,False,3.45,False,1.675,False,0.796,False,-0.121,True
no3rr-Cu3Sn,Cu3Sn,6.493,False,4.833,False,3.93,False,2.921,False,1.666,False,-0.134,True
no3rr-Cu3Ag,AgCu3,6.19,False,4.603,False,4.331,False,2.676,False,2.111,False,-0.283,False
no3rr-Ni3Cu,CuNi3,6.279,False,3.92,False,2.486,False,0.501,False,0.144,False,-0.157,False
no3rr-Co3Cu,Co3Cu,5.781,False,3.775,False,2.852,False,0.006,False,-0.225,False,0.002,True
no3rr-Pd3Cu,CuPd3,6.22,False,5.009,False,2.728,False,1.933,False,0.942,False,-0.185,True
no3rr-Ni3Fe,FeNi3,5.349,False,1.551,True,0.95,False,0.24,False,-1.065,False,-0.79,False
no3rr-Ni3Co,CoNi3,5.086,True,4.509,False,1.429,False,-0.785,False,-0.928,False,-0.173,True
no3rr-Co3Pd,Co3Pd,6.031,False,4.398,False,1.902,False,0.218,False,1.017,False,-0.138,True
