adsorbate,bulk_id,min_E_ml
H,mp-1186014,-0.9332745671272278
NNH,mp-1186014,-0.8923285007476807
H,mp-2677,0.6571264863014221
NNH,mp-2677,1.2719130516052246
H,oqmd-343006,-0.4877011775970459
NNH,oqmd-343006,-0.4555726647377014
H,oqmd-343039,-0.018303632736206055
NNH,oqmd-343039,1.565793514251709
H,oqmd-343394,-1.0404796600341797
NNH,oqmd-343394,-0.9958145022392273
H,oqmd-343615,-0.484811931848526
NNH,oqmd-343615,-0.06060272455215454
H,oqmd-344237,-0.2370215654373169
NNH,oqmd-344237,-0.35931500792503357
H,oqmd-344251,-1.0975594520568848
H,oqmd-344635,-0.6651235222816467
H,oqmd-345352,-1.0520533323287964
NNH,oqmd-345352,-2.039745569229126
H,oqmd-345911,-0.45132118463516235
H,oqmd-346653,-1.0397250652313232
NNH,oqmd-346653,-2.9790303707122803
H,oqmd-346818,-0.43054160475730896
NNH,oqmd-346818,0.4428655505180359
H,oqmd-347528,-0.3786581754684448
H,oqmd-348366,-1.0506889820098877
H,oqmd-348629,0.19818484783172607
NNH,oqmd-348629,1.8738298416137695
H,oqmd-349496,-0.17307716608047485
NNH,oqmd-349496,-0.0343661904335022
H,oqmd-349719,-0.3573475480079651
NNH,oqmd-349719,0.8464385867118835
H,oqmd-349813,-0.013098835945129395
NNH,oqmd-349813,2.048593282699585
